"t","Yt","Y(t-1)","Xt"
"1","0.0028655678033829","","24.554214477539"
"2","0.00025678167003207","0.0028655678033829","24.538078308105"
"3","0.0023549713660032","0.00025678167003207","24.544692993164"
"4","0.0061046658083797","0.0023549713660032","24.55401802063"
"5","0.0031328229233622","0.0061046658083797","24.565397262573"
"6","0.0096361236646771","0.0031328229233622","24.573600769043"
"7","0.0013370123924688","0.0096361236646771","24.576578140259"
"8","0.0014219575095922","0.0013370123924688","24.574949264526"
"9","0.00057655258569866","0.0014219575095922","24.567079544067"
"10","-0.0012478795833886","0.00057655258569866","24.553241729736"
"11","0.0018526752246544","-0.0012478795833886","24.534229278564"
"12","-0.0041424613445997","0.0018526752246544","24.518920898438"
"13","0.0033632672857493","-0.0041424613445997","24.508377075195"
"14","-0.0035653251688927","0.0033632672857493","24.501676559448"
"15","-0.00058039021678269","-0.0035653251688927","24.476713180542"
"16","0.0002804615360219","-0.00058039021678269","24.459692001343"
"17","-0.0014518655370921","0.0002804615360219","24.458145141601"
"18","-0.0015386209124699","-0.0014518655370921","24.467418670654"
"19","-0.0032630928326398","-0.0015386209124699","24.478000640869"
"20","0.00078695273259655","-0.0032630928326398","24.483293533325"
"21","-0.0012790844775736","0.00078695273259655","24.508478164673"
"22","0.0014467239379883","-0.0012790844775736","24.530937194824"
"23","0.0026509019080549","0.0014467239379883","24.538719177246"
"24","0.00016257009701803","0.0026509019080549","24.530256271362"
"25","4.7882933616638","0.00016257009701803","24.523567199707"
"26","117.7774887085","4.7882933616638","24.525579452515"
"27","333.6721496582","117.7774887085","24.487628936767"
"28","630.39532470703","333.6721496582","24.462026596069"
"29","984.87585449219","630.39532470703","24.440998077392"
"30","1380.6849365234","984.87585449219","24.435739517212"
"31","1806.1245117188","1380.6849365234","24.430776596069"
"32","2252.7548828125","1806.1245117188","24.36547088623"
"33","2714.5239257812","2252.7548828125","24.285898208618"
"34","3187.1735839844","2714.5239257812","24.264736175537"
"35","3662.7673339844","3187.1735839844","24.372970581055"
"36","4041.9670410156","3662.7673339844","24.458320617676"
"37","4313.6005859375","4041.9670410156","24.388488769531"
"38","4508.1884765625","4313.6005859375","24.405055999756"
"39","4647.5971679688","4508.1884765625","24.351060867309"
"40","4747.486328125","4647.5971679688","24.319919586182"
"41","4819.0522460938","4747.486328125","24.372678756714"
"42","4870.3310546875","4819.0522460938","24.456853866577"
"43","4907.0751953125","4870.3310546875","24.49435043335"
"44","4933.4096679688","4907.0751953125","24.567909240723"
"45","4952.2763671875","4933.4096679688","24.632112503052"
"46","4965.794921875","4952.2763671875","24.708045959473"
"47","4975.4814453125","4965.794921875","24.720520019531"
"48","4982.4213867188","4975.4814453125","24.724420547485"
"49","4987.3896484375","4982.4213867188","24.73588180542"
"50","4990.9477539062","4987.3896484375","24.746356964111"
"51","4993.4926757812","4990.9477539062","24.854560852051"
"52","4995.330078125","4993.4926757812","24.896831512451"
"53","4996.6411132812","4995.330078125","24.881637573242"
"54","4997.576171875","4996.6411132812","24.887523651123"
"55","4998.2592773438","4997.576171875","24.935457229614"
"56","4998.7426757812","4998.2592773438","24.984306335449"
"57","4999.0815429688","4998.7426757812","25.06441116333"
"58","4999.33203125","4999.0815429688","25.09139251709"
"59","4999.501953125","4999.33203125","25.134544372559"
"60","4999.6264648438","4999.501953125","25.143804550171"
"61","4999.7333984375","4999.6264648438","25.19322013855"
"62","4999.796875","4999.7333984375","25.221752166748"
"63","4999.8383789062","4999.796875","25.265327453613"
"64","4999.8735351562","4999.8383789062","25.305328369141"
"65","4999.8979492188","4999.8735351562","25.348220825195"
"66","4999.91015625","4999.8979492188","25.3577003479"
"67","4999.9223632812","4999.91015625","25.376012802124"
"68","4999.935546875","4999.9223632812","25.415790557861"
"69","4999.9360351562","4999.935546875","25.498889923096"
"70","4999.9453125","4999.9360351562","25.60040473938"
"71","4999.9506835938","4999.9453125","25.662796020508"
"72","4999.9521484375","4999.9506835938","25.659435272217"
"73","4999.9541015625","4999.9521484375","25.68253326416"
"74","4999.9536132812","4999.9541015625","25.713926315308"
"75","4999.9487304688","4999.9536132812","25.771413803101"
"76","4999.9575195312","4999.9487304688","25.839286804199"
"77","4999.955078125","4999.9575195312","25.880931854248"
"78","4999.9604492188","4999.955078125","25.932897567749"
"79","4999.9604492188","4999.9604492188","25.896507263184"
"80","4999.958984375","4999.9604492188","25.844209671021"
"81","4999.951171875","4999.958984375","25.910224914551"
"82","4999.9560546875","4999.951171875","25.992824554443"
"83","4999.9526367188","4999.9560546875","26.006126403809"
"84","4999.9536132812","4999.9526367188","26.033472061157"
"85","4999.958984375","4999.9536132812","26.092580795288"
"86","4999.9584960938","4999.958984375","26.131233215332"
"87","4999.9614257812","4999.9584960938","26.212135314941"
"88","4999.9565429688","4999.9614257812","26.298250198364"
"89","4999.955078125","4999.9565429688","26.308235168457"
"90","4999.9516601562","4999.955078125","26.335704803467"
"91","4999.958984375","4999.9516601562","26.351419448852"
"92","4999.962890625","4999.958984375","26.420463562012"
"93","4999.9526367188","4999.962890625","26.484958648682"
"94","4999.9599609375","4999.9526367188","26.543891906738"
"95","4999.9584960938","4999.9599609375","26.583644866943"
"96","4999.9624023438","4999.9584960938","26.632503509521"
"97","4999.9594726562","4999.9624023438","26.719680786133"
"98","4999.9565429688","4999.9594726562","26.780698776245"
"99","4999.9497070312","4999.9565429688","26.792114257812"
"100","4999.9545898438","4999.9497070312","26.789745330811"
"101","4999.9536132812","4999.9545898438","26.787107467651"
"102","4999.9604492188","4999.9536132812","26.786985397339"
"103","4999.9653320312","4999.9604492188","26.83504486084"
"104","4999.9653320312","4999.9653320312","26.940240859985"
"105","4999.9497070312","4999.9653320312","26.984142303467"
"106","4999.9516601562","4999.9497070312","26.994567871094"
"107","4999.9594726562","4999.9516601562","27.046316146851"
"108","4999.9599609375","4999.9594726562","27.051979064941"
"109","4999.9599609375","4999.9599609375","27.097919464111"
"110","4999.962890625","4999.9599609375","27.14457321167"
"111","4999.9575195312","4999.962890625","27.202766418457"
"112","4999.9560546875","4999.9575195312","27.260368347168"
"113","4999.9555664062","4999.9560546875","27.295755386352"
"114","4999.951171875","4999.9555664062","27.320310592651"
"115","4999.9541015625","4999.951171875","27.317138671875"
"116","4999.958984375","4999.9541015625","27.36657333374"
"117","4999.951171875","4999.958984375","27.433708190918"
"118","4999.9584960938","4999.951171875","27.472347259521"
"119","4999.9604492188","4999.9584960938","27.478404998779"
"120","4999.958984375","4999.9604492188","27.497024536133"
"121","4999.9584960938","4999.958984375","27.515472412109"
"122","4999.9584960938","4999.9584960938","27.571590423584"
"123","4999.9565429688","4999.9584960938","27.587257385254"
"124","4999.9536132812","4999.9565429688","27.673805236816"
"125","4999.9604492188","4999.9536132812","27.778940200806"
"126","4999.962890625","4999.9604492188","27.840744018555"
"127","4999.9584960938","4999.962890625","27.877349853516"
"128","4999.9619140625","4999.9584960938","27.916847229004"
"129","4999.9506835938","4999.9619140625","27.951351165771"
"130","4999.9545898438","4999.9506835938","27.989797592163"
"131","4999.95703125","4999.9545898438","28.017669677734"
"132","4999.9545898438","4999.95703125","28.028945922851"
"133","4999.9536132812","4999.9545898438","28.047708511352"
"134","4999.962890625","4999.9536132812","28.063385009766"
"135","4999.9624023438","4999.962890625","28.062171936035"
"136","4999.94921875","4999.9624023438","28.093786239624"
"137","4999.9497070312","4999.94921875","28.198699951172"
"138","4999.9501953125","4999.9497070312","28.259389877319"
"139","4999.955078125","4999.9501953125","28.329433441162"
"140","4999.9614257812","4999.955078125","28.320503234863"
"141","4999.953125","4999.9614257812","28.370502471924"
"142","4999.962890625","4999.953125","28.45450592041"
"143","4999.955078125","4999.962890625","28.478139877319"
"144","4999.9536132812","4999.955078125","28.446733474731"
"145","4999.9526367188","4999.9536132812","28.467960357666"
"146","4999.9575195312","4999.9526367188","28.558084487915"
"147","4999.9487304688","4999.9575195312","28.667621612549"
"148","4999.9594726562","4999.9487304688","28.753984451294"
"149","4999.9555664062","4999.9594726562","28.813911437988"
"150","4999.9575195312","4999.9555664062","28.805103302002"
"151","4999.9575195312","4999.9575195312","28.819229125976"
"152","4999.9541015625","4999.9575195312","28.817993164062"
"153","4999.951171875","4999.9541015625","28.868028640747"
"154","4999.9555664062","4999.951171875","28.945348739624"
"155","4999.9545898438","4999.9555664062","28.934978485107"
"156","4999.9604492188","4999.9545898438","28.971151351929"
"157","4999.9604492188","4999.9604492188","28.994585037231"
"158","4999.9638671875","4999.9604492188","29.041717529297"
"159","4999.9565429688","4999.9638671875","29.159412384033"
"160","4999.9560546875","4999.9565429688","29.200119018555"
"161","4999.9521484375","4999.9560546875","29.170692443848"
"162","4999.95703125","4999.9521484375","29.132955551147"
"163","4999.962890625","4999.95703125","29.12463760376"
"164","4999.9624023438","4999.962890625","29.176822662354"
"165","4999.9614257812","4999.9624023438","29.254796981811"
"166","4999.958984375","4999.9614257812","29.364191055298"
"167","4999.9516601562","4999.958984375","29.439800262451"
"168","4999.953125","4999.9516601562","29.452968597412"
"169","4999.95703125","4999.953125","29.465324401855"
"170","4999.9609375","4999.95703125","29.519338607788"
"171","4999.9565429688","4999.9609375","29.531951904297"
"172","4999.9619140625","4999.9565429688","29.517076492309"
"173","4999.953125","4999.9619140625","29.524070739746"
"174","4999.958984375","4999.953125","29.583946228027"
"175","4999.9541015625","4999.958984375","29.633857727051"
"176","4999.958984375","4999.9541015625","29.644041061401"
"177","4999.9545898438","4999.958984375","29.634609222412"
"178","4999.9541015625","4999.9545898438","29.716724395752"
"179","4999.958984375","4999.9541015625","29.799919128418"
"180","4999.95703125","4999.958984375","29.811836242676"
"181","4999.9594726562","4999.95703125","29.767181396484"
"182","4999.9619140625","4999.9594726562","29.814804077148"
"183","4999.9555664062","4999.9619140625","29.909109115601"
"184","4999.9497070312","4999.9555664062","29.948863983154"
"185","4999.9526367188","4999.9497070312","29.991163253784"
"186","4999.951171875","4999.9526367188","30.009628295898"
"187","4999.9526367188","4999.951171875","30.088283538818"
"188","4999.958984375","4999.9526367188","30.143602371216"
"189","4999.9575195312","4999.958984375","30.21022605896"
"190","4999.9560546875","4999.9575195312","30.260662078857"
"191","4999.9521484375","4999.9560546875","30.30403137207"
"192","4999.9541015625","4999.9521484375","30.318086624146"
"193","4999.9526367188","4999.9541015625","30.346759796142"
"194","4999.953125","4999.9526367188","30.383296966553"
"195","4999.9575195312","4999.953125","30.427713394165"
"196","4999.9594726562","4999.9575195312","30.475856781006"
"197","4999.9526367188","4999.9594726562","30.515800476074"
"198","4999.95703125","4999.9526367188","30.546089172363"
"199","4999.9619140625","4999.95703125","30.585109710693"
"200","4999.9614257812","4999.9619140625","30.604801177979"
